Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2016.3.17,1987.99,        792       0.2077      -0.1785      -0.3862,        792       0.2077       0.3281       0.1203,        792       0.2077      -0.1212      -0.3289,        792       0.2077       0.7395       0.5317,        792       0.2077      -0.3907      -0.5984,        792       0.2077      -0.0501      -0.2579,        792       0.2077      -0.1143       -0.322,        792       0.2077       0.2341       0.0264
2016.3.18,1992.12,        793      -0.1185       0.0023       0.1208,        793      -0.1185      -0.2273      -0.1088,        793      -0.1185       0.0852       0.2036,        793      -0.1185      -0.3128      -0.1944,        793      -0.1185      -0.2857      -0.1673,        793      -0.1185      -0.8071      -0.6886,        793      -0.1185      -0.0143       0.1042,        793      -0.1185       0.0548       0.1733
2016.3.21,1989.76,        794       0.3543       0.0768      -0.2775,        794       0.3543       0.1701      -0.1842,        794       0.3543       0.0622      -0.2922,        794       0.3543       0.2728      -0.0816,        794       0.3543       0.2953       -0.059,        794       0.3543      -0.1575      -0.5118,        794       0.3543      -0.0993      -0.4536,        794       0.3543       0.1686      -0.1858
2016.3.22,1996.81,        795      -0.0846       0.2817       0.3663,        795      -0.0846      -0.1785      -0.0939,        795      -0.0846       0.3862       0.4708,        795      -0.0846      -0.5195      -0.4348,        795      -0.0846       0.0021       0.0867,        795      -0.0846      -12.882     -12.7974,        795      -0.0846       0.2483       0.3329,        795      -0.0846       0.0234        0.108
2016.3.23,1995.12,        796      -0.4586      -0.5654      -0.1068,        796      -0.4586      -0.5802      -0.1216,        796      -0.4586      -0.5919      -0.1333,        796      -0.4586      -0.3941       0.0645,        796      -0.4586      -1.0871      -0.6285,        796      -0.4586      -1.7867      -1.3281,        796      -0.4586      -0.4274       0.0312,        796      -0.4586      -0.5727      -0.1141
2016.3.24,1985.97,        797      -0.1088      -0.0367       0.0721,        797      -0.1088      -0.1818      -0.0731,        797      -0.1088      -0.0368        0.072,        797      -0.1088        0.057       0.1657,        797      -0.1088      -0.6299      -0.5212,        797      -0.1088      -0.3443      -0.2355,        797      -0.1088      -0.0499       0.0589,        797      -0.1088      -0.0242       0.0846
2016.3.25,1983.81,        798       -0.064      -0.0656      -0.0016,        798       -0.064       0.1447       0.2088,        798       -0.064      -0.0306       0.0335,        798       -0.064      -0.3224      -0.2584,        798       -0.064      -0.5829      -0.5188,        798       -0.064      -0.5526      -0.4886,        798       -0.064      -0.0452       0.0189,        798       -0.064      -0.0412       0.0228
2016.3.28,1982.54,        799       0.6239      -0.1423      -0.7663,        799       0.6239      -0.5415      -1.1655,        799       0.6239      -0.1134      -0.7374,        799       0.6239      -0.7393      -1.3632,        799       0.6239      -0.7876      -1.4116,        799       0.6239      -0.6883      -1.3123,        799       0.6239      -0.0859      -0.7099,        799       0.6239       0.0588      -0.5651
2016.3.29,1994.91,        800       0.3624       0.1694       -0.193,        800       0.3624       0.4631       0.1006,        800       0.3624       0.2451      -0.1173,        800       0.3624       0.8956       0.5332,        800       0.3624      -0.0436       -0.406,        800       0.3624       0.1954       -0.167,        800       0.3624       0.2489      -0.1136,        800       0.3624        0.596       0.2336
2016.3.30,2002.14,        801      -0.3142       0.4153       0.7295,        801      -0.3142       1.0631       1.3772,        801      -0.3142       0.3025       0.6167,        801      -0.3142       0.8532       1.1674,        801      -0.3142      -0.5074      -0.1932,        801      -0.3142      -1.9656      -1.6514,        801      -0.3142       0.0113       0.3254,        801      -0.3142       0.1804       0.4946
