@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2017-06-15, 2361.65, 1838.32, 1861.5, 1862.3, 1834.51, 10775.8, 10858.5, 10934.0, 10775.3, 20960.55, 21095.34, 21198.48, 20960.55, 15170.13, 15381.63, 15381.63, 15166.32, 3945.48, 3902.48
2017-06-16, 2361.83, 1817.82, 1833.42, 1833.42, 1774.56, 10699.6, 10750.8, 10751.6, 10598.0, 20847.51, 20928.53, 20937.01, 20731.58, 15160.42, 15111.77, 15176.42, 15077.95, 3896.21, 3856.5
2017-06-19, 2370.9, 1822.91, 1818.87, 1833.7, 1811.45, 10759.4, 10731.9, 10786.3, 10702.1, 20940.73, 20999.93, 21041.89, 20801.81, 15192.54, 15148.53, 15214.21, 15092.28, 3920.25, 3895.82
2017-06-20, 2369.23, 1849.78, 1820.83, 1851.7, 1820.11, 10848.9, 10839.8, 10884.2, 10807.6, 21014.25, 20989.24, 21114.91, 20901.94, 15266.04, 15242.9, 15325.9, 15234.74, 3942.91, 3926.46
2017-06-21, 2357.53, 1857.96, 1850.38, 1870.56, 1846.7, 10746.1, 10892.3, 10901.5, 10746.1, 20810.02, 21069.71, 21088.41, 20810.02, 15149.6, 15228.56, 15228.85, 15136.72, 3946.42, 3910.2
2017-06-22, 2370.37, 1850.81, 1858.24, 1861.03, 1844.06, 10740.7, 10721.9, 10761.5, 10615.9, 21071.91, 20769.17, 21093.27, 20587.12, 15148.53, 15163.12, 15246.02, 15125.09, 3889.62, 3847.31
2017-06-23, 2378.6, 1860.05, 1842.62, 1863.42, 1836.02, 10709.9, 10709.6, 10725.2, 10641.9, 20930.26, 20978.64, 20978.64, 20842.78, 15219.9, 15157.05, 15266.66, 15153.01, 3861.9, 3837.72
2017-06-26, 2388.66, 1867.46, 1859.63, 1876.36, 1850.22, 10630.8, 10685.6, 10715.5, 10596.3, 20833.88, 20934.6, 21009.44, 20744.23, 15319.56, 15240.66, 15344.57, 15221.78, 3849.3, 3833.56
2017-06-27, 2391.95, 1860.39, 1870.33, 1880.11, 1857.03, 10696.6, 10666.1, 10757.0, 10656.5, 21001.95, 20989.61, 21174.18, 20951.94, 15316.02, 15331.03, 15378.74, 15264.7, 3885.24, 3858.98
2017-06-28, 2382.56, 1878.94, 1857.24, 1884.41, 1849.42, 10647.9, 10674.0, 10726.2, 10643.9, 20790.86, 20966.5, 21047.43, 20781.68, 15281.22, 15328.15, 15354.42, 15274.42, 3867.7, 3832.31
2017-06-29, 2395.66, 1891.98, 1877.04, 1893.65, 1864.88, 10702.7, 10607.8, 10716.7, 10526.6, 21047.8, 20705.73, 21048.23, 20613.73, 15355.58, 15306.82, 15368.88, 15264.59, 3844.14, 3798.87
2017-06-30, 2391.79, 1881.04, 1896.12, 1902.8, 1877.13, 10531.1, 10735.9, 10772.0, 10514.5, 20704.65, 21148.34, 21155.29, 20674.17, 15213.42, 15359.02, 15359.02, 15148.25, 3859.67, 3782.82
2017-07-03, 2394.48, 1879.5, 1879.16, 1895.98, 1877.57, 10444.5, 10541.2, 10583.7, 10433.2, 20584.23, 20752.48, 20838.06, 20537.35, 15182.19, 15233.78, 15239.59, 15114.56, 3822.99, 3786.16
2017-07-04, 2380.52, 1902.59, 1886.72, 1902.59, 1881.98, 10604.2, 10507.6, 10615.1, 10502.2, 21013.14, 20710.89, 21021.56, 20703.95, 15156.4, 15225.575, 15241.07, 15105.185, 3842.99, 3809.98
2017-07-05, 2388.35, 1917.4, 1902.64, 1919.23, 1899.17, 10566.7, 10543.3, 10611.4, 10530.3, 21031.05, 20961.93, 21085.38, 20925.95, 15130.61, 15217.37, 15242.55, 15095.81, 3849.53, 3826.15
2017-07-06, 2387.81, 1921.38, 1917.36, 1924.53, 1912.31, 10523.6, 10535.9, 10589.5, 10509.5, 20939.39, 20988.34, 21084.03, 20881.45, 15153.12, 15125.04, 15176.8, 15033.81, 3845.78, 3822.9
2017-07-07, 2379.87, 1923.22, 1920.59, 1929.43, 1911.96, 10498.4, 10546.1, 10546.2, 10402.0, 21084.19, 20951.26, 21084.19, 20854.41, 15078.0, 15086.89, 15138.49, 15053.1, 3840.23, 3797.34
2017-07-10, 2382.1, 1912.48, 1906.72, 1914.29, 1897.87, 10488.8, 10495.2, 10505.7, 10433.5, 21015.1, 21061.83, 21081.68, 20922.27, 15027.16, 15037.16, 15037.16, 14915.78, 3835.83, 3813.18
